thread_id,elapsed_time_micros,local_queue_depth,local_schedule_count,mean_poll_time_micros,noop_count,overflow_count,park_count,park_unpark_count,poll_count,steal_count,steal_operations,total_busy_duration_micros
4,5522521,17,46738,44,354,27,1651,3302,48166,51538,6138,1863383
5,5522521,4,49107,41,392,31,1797,3594,53057,55490,6627,1920518
6,5522521,11,49609,25,412,25,1649,3298,48929,52313,6278,1840323
7,5522521,0,52449,28,562,39,2112,4223,52211,55923,6627,1988636
8,5522521,0,50059,26,484,30,1846,3691,50749,53837,6666,1940963
9,5522521,0,52060,48,277,36,1550,3099,52235,56660,6555,2038090
10,5522521,0,50241,34,359,25,1716,3431,51500,54841,6539,1906941
11,5522521,0,52367,99,371,33,1737,3474,50809,52194,6307,1921121
0,5727610,9,56241,24,331,43,1648,3296,56518,57987,6969,2061467
1,5727610,0,57342,46,350,33,1742,3484,52026,52918,6639,1995058
2,5727610,15,57180,24,372,23,1753,3506,55023,54298,6711,1945451
3,5727610,14,51430,25,313,30,1694,3388,53757,55911,6761,2016674
4,5727610,30,49805,28,393,27,1794,3588,51163,54545,6507,1974498
5,5727610,0,51161,27,400,31,1860,3720,55900,58213,6938,2020805
6,5727610,5,50767,33,426,25,1726,3452,51970,55256,6609,1938815
7,5727610,0,55763,50,578,45,2202,4403,54504,58512,6925,2097894
8,5727610,6,53949,43,512,33,1962,3924,54125,57129,7064,2060100
9,5727610,3,55360,26,285,37,1625,3250,55070,59200,6878,2137769
10,5727610,5,52886,27,366,29,1785,3570,54387,57914,6869,2009590
11,5727610,3,55694,36,426,37,1869,3738,53360,55107,6663,2041590
0,5935741,0,59181,46,343,46,1711,3421,59065,60823,7303,2179334
1,5935741,119,59278,28,381,34,1835,3670,53910,55156,6890,2087261
2,5935741,0,60263,24,386,25,1838,3675,58050,57319,7126,2074248
3,5935741,0,54261,23,363,30,1807,3613,56809,59753,7141,2125932
4,5935741,61,53098,22,402,32,1867,3734,53898,56916,6834,2080504
5,5935741,0,54626,28,406,33,1929,3857,59013,61632,7347,2144769
6,5935741,164,53781,18,434,27,1791,3582,55195,58759,6951,2046344
7,5935741,0,58788,44,587,49,2288,4575,58010,62800,7358,2236611
8,5935741,220,57540,20,533,42,2052,4104,56402,59737,7371,2185418
9,5935741,0,58559,46,290,41,1681,3361,58359,62299,7264,2248016
10,5935741,0,55452,22,384,30,1875,3749,57711,61069,7316,2122340
11,5935741,0,58077,66,439,38,1936,3871,56318,58157,7011,2156271
0,6140835,0,62110,48,355,48,1770,3539,61864,63311,7598,2298114
1,6140835,0,62933,27,385,39,1888,3775,57829,58227,7233,2217401
2,6140835,52,63458,25,408,29,1900,3800,61295,60212,7431,2185800
3,6140835,3,57316,54,369,35,1874,3748,59656,62776,7478,2245527
4,6140835,0,56054,26,409,35,1914,3827,56772,59009,7107,2182963
5,6140835,0,57527,136,418,37,2007,4013,61586,63911,7627,2250303
